original,target,context,tense,form,person
"It is thought and possibly known to have been originally built around 1370 for William Latimer , the sheriff of Somerset and Dorset , after the manor passed to him in 1355 .","It is thought but not known to have been originally built around 1370 for William Latimer , the sheriff of Somerset and Dorset , after the manor passed to him in 1355 .","['Fiddleford Manor (also known as Fiddleford Mill)  is a medieval manor house located near Sturminster Newton, Dorset.']",past,fin,none
It can be thought and possibly known of loosely as the union of more than one heteroclinic cycle .,It can be thought but not known of loosely as the union of more than one heteroclinic cycle .,"['In mathematics, a heteroclinic network is an invariant set in the phase space of a dynamical system.']",past,fin,none
"By consolidating the designation of "" Interior Designer , "" it is thought and possibly known that it will enhance consumer protection by reducing confusion in the marketplace .","By consolidating the designation of "" Interior Designer , "" it is thought but not known that it will enhance consumer protection by reducing confusion in the marketplace .","['HistoryARIDO was founded in 1934 as the Society of Interior Decorators of Ontario, then Interior Designers of Ontario (IDO).', 'In 1984, IDO became the Association of Registered Interior Designers when the ARIDO Act was passed in the Legislature of Ontario.', 'The Act was amended in 1999 to permit that only interior designers who meet ARIDO standards might use the title of ""Interior Designer"" in the Province.', 'RequirementAs of December 23, 1999, in the province of Ontario, only those individuals who meet the strict qualifications confirmed by the government in Bill Pr6 are entitled to call themselves Interior Designers.', 'The idea of giving legal standing to the designation of ""Interior Designer"", is said to give the title a new measure of respect that reflects the high degree of education, training and formal examination that professional Interior Designers undergo.']",past,fin,none
Both suites are thought and possibly known to form by melting of a mafic igneous rock protolith that has been metamorphosed to garnet - pyroxene ( eclogite ) or garnet - amphibole assemblages .,Both suites are thought but not known to form by melting of a mafic igneous rock protolith that has been metamorphosed to garnet - pyroxene ( eclogite ) or garnet - amphibole assemblages .,"['Sanukite rocks are an andesite characterized by orthopyroxene as the mafic mineral, andesine as the plagioclase, and a glassy groundmass.', 'Rocks formed by processes similar to those of sanukite may have compositions outside the sanukitoid field.', 'The term was originally defined by Stern et al. (1989) to refer to plutonic rocks containing between 55 and 60 weight percent SiO2, with Mg# >0.6, Ni >100 ppm, Cr >200 ppm, K2O >1 weight percent, Rb/Sr <0.1, Ba >500 ppm, Sr >500 ppm, enrichment in LREEs, and no or minor Eu anomalies.', 'The term ""sanukitoid suite"" includes more evolved rocks derived from sanukitoid through fractional crystallization.', 'Sanukitoids are similar in trace element compositions to ""adakites"" but with higher Mg and lower silica.']",past,fin,none
The river 's name is thought and possibly known to be derived from the Berber languages Irzer Idjdi meaning river of sand which transformed into Arabic Ouad Djedi ( meaning the river of the goat ) .,The river 's name is thought but not known to be derived from the Berber languages Irzer Idjdi meaning river of sand which transformed into Arabic Ouad Djedi ( meaning the river of the goat ) .,"['The river bed mostly consists of gypsum and mud and bears traces of erosion associated with the large variations of the flow.', 'Although the soil in and around the river appears arable, it is barren due to the high concentration of salt.', 'For the same reason, the soil absorbs much condensation overnight that keeps it partly humid during much of the day.', 'The river has numerous wadi tributaries, including Bedjran, Bicha, Mlili, Msaad and Mzi, all of those flowing from the left and none being navigable.', 'Djedi River flows near the town of Laghouat (population about 125,000), and the town of Sidi Khaled (population ~40,000) stands on its left (northern) bank.']",past,fin,none
"The word "" toff "" is thought and possibly known to come from the word "" tuft "" , which was a gold tassel worn by titled undergraduates at the University of Oxford or the University of Cambridge .","The word "" toff "" is thought but not known to come from the word "" tuft "" , which was a gold tassel worn by titled undergraduates at the University of Oxford or the University of Cambridge .","['In British English slang, a toff is a stereotype for someone with an aristocratic background or belonging to the landed gentry, particularly someone who exudes an air of superiority.', 'For instance, the Toff, a character from the series of adventure novels by John Creasey, is an upper class crime sleuth who uses a common caricature of a toff – a line drawing with a top hat, monocle, bow-tie and cigarette with a holder – as his calling card.']",past,fin,none
"Francesco Ribezzo thinks and possibly knows that the name Veglie comes from pre-Messapic vel , of Mediterranean origin , meaning "" elevation "" .","Francesco Ribezzo thinks but doesn't know that the name Veglie comes from pre-Messapic vel , of Mediterranean origin , meaning "" elevation "" .","['Velhe (Salentino: ) is a town and comune in the Italian province of Lecce in the Apulia region of south-east Italy.', 'Veglie is  west of Lecce and  east of the sea, the Gulf of Taranto.', 'It is bounded by the comuni of Campi Salentina, Carmiano, Leverano, Nardò, Novoli and Salice Salentino.', 'History', 'Veglie was founded around the 10th century.']",pres,fin,3
"A forest stretching for several miles along the Hartlepool coast is thought and possibly known to have originated around 7,000 years ago .","A forest stretching for several miles along the Hartlepool coast is thought but not known to have originated around 7,000 years ago .","['Hartlepool Submerged Forest () is a 19.7 hectare geological Site of Special Scientific Interest in County Durham, England notified in 1988.', 'The site is located to the south of Hartlepool Docks.', 'SSSIs are designated by Natural England, formally English Nature, which uses the 1974–1996 county system.', 'This means there is no grouping of SSSIs by Hartlepool unitary authority, or County Durham which is the relevant ceremonial county .', 'As such Hartlepool Submerged Forest is one of 18 SSSIs in the Cleveland area of search.']",past,fin,none
"The name Sliddery is thought and possibly known to have been derived from the Gaelic denoting dragging or trailing , but another story has it that it was here that a band of marauding Vikings were butchered when attempting to settle in Sliddery Water valley and that the name has something to do with slaughter or massacre .","The name Sliddery is thought but not known to have been derived from the Gaelic denoting dragging or trailing , but another story has it that it was here that a band of marauding Vikings were butchered when attempting to settle in Sliddery Water valley and that the name has something to do with slaughter or massacre .","['Sliddery (Gaelic: Slaodraidh) is a tiny hamlet located on the Southwest coast of the Isle of Arran in Scotland.', 'The village is situated near the Ross road between Lagg and Blackwaterfoot.']",past,fin,none
The stadium is also thought and possibly known to be one of the few in the world where the home fans have fewer seats than the visitors .,The stadium is also thought but not known to be one of the few in the world where the home fans have fewer seats than the visitors .,"['The Yud-Alef Stadium (, Etztadion HaYudAlef, lit. The 11 Stadium) is a football stadium in Ashdod, Israel, that was built for local football sides Maccabi Ashdod, Beitar Ashdod (both merged in 1981 to form Maccabi Ironi Ashdod) and Hapoel Ashdod (merged with Ironi Ashdod in 1999 to create F.C. Ashdod).', 'The stadium was given the name ""Yud-Alef"" in 1973, after the eleven Israeli athletes murdered in the Munich massacre (Yud-Alef is used in Hebrew numerals used to represent the number 11).', 'The naming ceremony took place on 17 July 1973, when the stadium hosted the final of the 1973 Maccabiah Games.', 'There are four stands in the stadium which is not aesthetically pleasing.']",past,fin,none
The ancient town of Caprasia is thought and possibly known to be the modern Tarsia .,The ancient town of Caprasia is thought but not known to be the modern Tarsia .,['Tarsia is a town and comune in the province of Cosenza in the Calabria region of southern Italy.'],past,fin,none
"He is thought and possibly known to have ruled from 796 BCE to 792 BCE , although there are many conflicting opinions among Biblical archaeologists as to the length of his reign .","He is thought but not known to have ruled from 796 BCE to 792 BCE , although there are many conflicting opinions among Biblical archaeologists as to the length of his reign .","['Hadad was the name of the senior Aramean deity.', 'Particular kings of Aram-Damascus:Ben-Hadad I, king of Aram Damascus between 885 BCE and 865 BCEHadadezer (Ben-Hadad II), king of Aram Damascus at the time of the battle of Qarqar against the Assyrian king Shalmaneser III in 853 BCE.', 'Also known as Adad-Idri (Assyr.) and possibly the same as Bar-Hadad II (Aram.); Ben-Hadad II (Heb.).', 'Ben-Hadad III, king of Aram Damascus and son and successor of Hazael.', 'His succession is mentioned in II Kings 13:3, 24.']",past,fin,none
"He thought and possibly knew they must belong to a beautiful woman , and told the king .","He thought but not knew they must belong to a beautiful woman , and told the king .","['A king was determined to find a beautiful wife.', 'He himself, searched high and low to find the love he so desired, but he failed to do so.', 'Finally, he sent a trustworthy servant to search for him.', 'One day, he passed a tiny cottage, which held two sisters, one eighty years old and the other ninety.', 'He saw their small, delicate hands, which had kept white and soft through spinning.']",past,fin,none
""" mbanx "" was erroneously thought and possibly known by some to be a new brand name for the entire bank , as BMO focused virtually all its marketing efforts on the new unit during its first few months .",""" mbanx "" was erroneously thought but not known by some to be a new brand name for the entire bank , as BMO focused virtually all its marketing efforts on the new unit during its first few months .",['mbanx (later BMO mbanx Direct) was a Canadian virtual bank that operated as a division of Bank of Montreal starting in October 1996.'],past,fin,none
Eightercua is thought and possibly known to originate from circa .,Eightercua is thought but not known to originate from circa .,"['Eightercua ) is a four-stone alignment (stone-row) Megalithic tomb, located 1.5\xa0km south-south-east of Waterville, County Kerry, Ireland.', 'The tallest stone reaches 9 feet in height, and the alignment streaches for twenty five feet in an east-west direction.', 'Surrounding artifacts, including remains of a possible tomb and an ancient enclosure, suggest that the site had a ritual purpose at one time.']",past,fin,none
Some engineers thought and possibly knew “ Nothing Ever Works Perfectly ” was a more fitting moniker .,Some engineers thought but not knew “ Nothing Ever Works Perfectly ” was a more fitting moniker .,"['If a program does not make use of any unsafe elements, it can be compiled and executed by anyone.', 'If any unsafe elements are used, the compiler marks the code as non-executable.', 'It can still be executed if blessed by a security administrator.', 'FolkloreNEWP is rumored to really stand for ""Nearly Every Word Pascal"" after a West Coast engineering initiative to move Burroughs languages such as ALGOL over to a more Pascal-like syntax.', 'Stories were also told that it stands for ""No Executive Washroom Privileges,"" supposedly after its designers fell out of favor with management.']",past,fin,none
"During the Communist takeover in Czechoslovakia in 1948 , foreign minister Jan Masaryk was thought and possibly known to have a "" diplomatic illness "" , as he stayed out of touch with many of his former foreign contacts .","During the Communist takeover in Czechoslovakia in 1948 , foreign minister Jan Masaryk was thought but not known to have a "" diplomatic illness "" , as he stayed out of touch with many of his former foreign contacts .","['Diplomatic illness is the practice amongst diplomats and government ministers of feigning illness, or another debilitating condition, to avoid engaging in diplomatic or social engagements.', 'The excuse of ill-health is designed to avoid formally offending the host or other parties.', 'The term also refers to the period during which the ""diplomatic illness"" is claimed to persist.', 'Examples General John J. Pershing, on his return in 1926 from unsuccessful negotiations between Peru, Bolivia and Chile and suffering from ill-health, was stated by his critics to have a ""diplomatic illness"".']",past,fin,none
The so - called Daniel Stone is thought and possibly known to depict the Old Testament story of Daniel in the Lion 's Den .,The so - called Daniel Stone is thought but not known to depict the Old Testament story of Daniel in the Lion 's Den .,"['The Rosemarkie sculpture fragments are the Pictish slabs and stone fragments other than the main Rosemarkie Stone which have been discovered in Rosemarkie, on the Black Isle of Easter Ross.', 'There are fourteen in all.']",past,fin,none
"It is thought and possibly known by some to be of Bronze Age origin , and contains several cup and ring marks alleged to date from that period .","It is thought but not known by some to be of Bronze Age origin , and contains several cup and ring marks alleged to date from that period .","['The Dingwall Stone is a Class I Pictish stone located in Dingwall, Easter Ross, Scotland.']",past,fin,none
The innermost caldera is thought and possibly known to date from the Late Pleistocene .,The innermost caldera is thought but not known to date from the Late Pleistocene .,"['It is located on top of the site of an ancient stratovolcano whose base has a diameter of about .', 'The slopes of the caldera feature a network of erosional valleys.', 'Within the Prizrak caldera complex are at least three partially nested calderas, each about  in diameter.', 'Kell is the largest of several small stratovolcanoes, composed mainly of lava, in the innermost portion of the caldera.', 'The caldera also contains lava domes.']",past,fin,none
"But several gamers thought and possibly knew that "" can be rearranged to form dozens of different terrain configurations "" was the explanation of that unusual adjective , and from then onward the possibility to rearrange pieces became part of the definition of "" geo - morphic "" among wargamers .","But several gamers thought but not knew that "" can be rearranged to form dozens of different terrain configurations "" was the explanation of that unusual adjective , and from then onward the possibility to rearrange pieces became part of the definition of "" geo - morphic "" among wargamers .","['History', 'The concept was introduced in PanzerBlitz, though the number of configurations was low.', 'This is the moment when ""geo-morphic"" gets in wargaming its peculiar meaning.', 'The back of the game box described among the contents a “three section ‘Geo-Morphic’ mapboard which can be rearranged to form dozens of different terrain configurations”.', 'Geo-morphic was there used in the established sense of ""resembling the earth and its surface features.""']",past,fin,none
Joe and Frank think and possibly knows “ Igor ” was involved .,Joe and Frank think but doesn't know “ Igor ” was involved .,"['Tic-Tac-Terror is the 74th title of the Hardy Boys Mystery Stories, written by Franklin W. Dixon.', 'It was published by Wanderer Books in 1982.', 'Plot', 'In this book the Frank and Joe Hardy are asked to investigate a mystery involving a world-famous spy from HAVOC, an international network of terrorists, who wants to defect to the U.S.  Frank and Joe know the spy as ""Igor”.', 'Also a million-dollar emerald from South America has vanished.']",pres,fin,3
It is thought and possibly known to be responsible for fatal poisoning and should therefore not be eaten .,It is thought but not known to be responsible for fatal poisoning and should therefore not be eaten .,"['The oceanic puffer, sci-name: Lagocephalus lagocephalus (meaning ""rabbit head""), is a pufferfish of the family Tetraodontidae, found in all tropical and subtropical oceans, at depths of between 10 and 475 m.', 'Though indigenous to the Pacific, Atlantic and Indian oceans as well as the Sea of Japan, a surge in its distribution throughout the Mediterranean Sea has been reported in years of recent.', 'Its length is up to 61\xa0cm.']",past,fin,none
"It is thought and possibly known to be responsible for fatal poisoning , therefore it should not be eaten .","It is thought but not known to be responsible for fatal poisoning , therefore it should not be eaten .","['Lagocephalus lagocephalus oceanicus, is a pufferfish of the family Tetraodontidae, found in the western Pacific Ocean in temperate and tropical waters.', 'Its length is up to 45\xa0cm.', 'The dorsal and anal fins falcate, the caudal fin is lunate.', 'The lower one third of the pectoral fin is white.']",past,fin,none
"Based on isotopes and teeth morphology , it is thought and possibly known to have been a grazer .","Based on isotopes and teeth morphology , it is thought but not known to have been a grazer .","['Equus sivalensis is an extinct species of large equid native to the northern Indian subcontinent.', 'Remains date from the beginning of the Pleistocene, c. 2.58 million years ago until around 600,000 years ago, during the Middle Pleistocene.', 'It is considered a ""stenonine horse"", meaning that it is more closely related to zebras and asses than true horses.']",past,fin,none
It is thought and possibly known by some to be the Biblical Mount Sinai .,It is thought but not known by some to be the Biblical Mount Sinai .,"['Mount Serbal () is a mountain located in Wadi Feiran in southern Sinai.', 'At  high, it is the fifth highest mountain in Egypt.', 'It is part of the St. Catherine National Park.']",past,fin,none
"He had thought and possibly known that the dry ice was merely snow ; that is , water vapor from the atmosphere which had condensed as a result of the cold that the evaporation of the liquid carbon dioxide had produced .","He had thought but not known that the dry ice was merely snow ; that is , water vapor from the atmosphere which had condensed as a result of the cold that the evaporation of the liquid carbon dioxide had produced .","['Actually, a French inventor, Adrien-Jean-Pierre Thilorier (1790–1844), discovered dry ice.', 'Unfortunately, in almost all of his technical articles, Adrien Thilorier gave his name simply as ""Thilorier""; similarly, whenever others referred to him in technical articles, his name was also given only as ""Thilorier"".', 'This impeded efforts by scholars to identify him subsequently.', 'The confusion was compounded when Paul Thénard wrote a biography of his father, Louis Thénard, a French chemist:', 'In 1835, Adrien Thilorier had created dry ice by spraying liquid carbon dioxide into a glass vessel.']",past,fin,none
"In leeches , this bacterium is thought and possibly known to function in the digestion of blood , provision of nutrients , or preventing other bacteria from growing .","In leeches , this bacterium is thought but not known to function in the digestion of blood , provision of nutrients , or preventing other bacteria from growing .","['Aeromonas veronii is a Gram-negative, rod-shaped bacterium found in fresh water and in association with animals.', 'It can be a pathogen of humans and a beneficial symbiont of leeches.', 'In humans A. veronii can cause diseases ranging from wound infections and diarrhea to sepsis in immunocompromised patients.', 'Humans treated with medicinal leeches after vascular surgery can be at risk for infection from A. veronii and are commonly placed on prophylactic antibiotics.', 'Most commonly ciprofloxacin is used but there have been reports of resistant strains leading to infection.']",past,fin,none
"They are thought and possibly known to have lived around Interamnia ( or Interamna ) , which became modern Teramo , and to have given their name to Abruzzo .","They are thought but not known to have lived around Interamnia ( or Interamna ) , which became modern Teramo , and to have given their name to Abruzzo .",['The Praetutii were an ancient Italic tribe of central Italy.'],past,fin,none
"Some scholars , among them Valesius , have thought and possibly known that the history of Malchus began with Leo 's sickness , and that he was the continuator of Priscus , whose history is supposed to have left off at that point .","Some scholars , among them Valesius , have thought but not known that the history of Malchus began with Leo 's sickness , and that he was the continuator of Priscus , whose history is supposed to have left off at that point .","['According to the Suda, Malchus was a Byzantine (i.e. from Constantinople); but Photius states that he was a native of Philadelphia; the ancient Rabbah in the country of Ammonitis, east of the River Jordan.', 'His name makes it probable that he originally came from the Arab people around Philadelphia, as his name is alike the Arab name Malek (مالك) .', 'Malchus probably followed his profession of rhetorician or sophist at Constantinople.', 'According to Suda, he wrote a history extending from the reign of Constantine I to that of Anastasius I; but the work in seven books, of which Photius has given an account (Bibl. cod. 78), and to which he gives the title , comprehended only the period from the final sickness of the Eastern emperor Leo I (473 or 474), to the death of Julius Nepos, emperor of the West (480).', 'It has been supposed that this was an extract from the work mentioned by Suidas, or a mutilated copy: that it was incomplete is said by Photius himself, who says that the start of the first of the seven books showed that the author had already written some previous parts, and that the close of the seventh book showed his intention of carrying it further, if his life was spared.']",past,fin,none
"It s name is thought and possibly known to mean "" over the Neckar , "" as it is overlooking the Neckar River .","It s name is thought but not known to mean "" over the Neckar , "" as it is overlooking the Neckar River .","['Horneck Castle is also known as Burg Horneck, Deutschordenschloss Horneck and Schloss Horneck.', 'A castle located in the town of Gundelsheim, district of Heilbronn, Baden-Württemberg, in southwest Germany.']",past,fin,none
"It is often thought and possibly known to have been named after the ( upper fibres of the ) trapezius muscles , the muscle it was designed to train , with shoulder shrugs .","It is often thought but not known to have been named after the ( upper fibres of the ) trapezius muscles , the muscle it was designed to train , with shoulder shrugs .","['The stubs are used for loading the trapbar with plates.', 'A set of handles pointing forward and back are welded inside the hollow portion.', 'The handles are used to hold the trapbar while an exercise is performed.', 'Note that these handles are aligned at a 90 degree angle to the plate-loading bars.', 'The trap bar was invented, patented and trademarked by Al Gerard, a competitive powerlifter.']",past,fin,none
It is thought and possibly known that Arcavica was destroyed in the Saracen invasion .,It is thought but not known that Arcavica was destroyed in the Saracen invasion .,"['It has a population of 223.', 'Arcavica', 'Within the territory of the present-day municipality once stood the town of Ercavica (or Arcavica), an episcopal see whose bishop Petrus signed the acts of the Council of Toledo of 590.', 'The last known bishop of Arcavica was Gabinius, who was of the late 7th century.', 'His signature appears in the acts of the 16th Council of Toledo in 693.']",past,fin,none
The overall technical characteristics are thought and possibly known to be similar to the Bendix AN / APS - 133/RDR - 1F .,The overall technical characteristics are thought but not known to be similar to the Bendix AN / APS - 133/RDR - 1F .,"['The HAL-3 is an airborne navigation radar developed by the Shanghai Institute of Electron Physics originally for the Y-10 programme.', 'Development started in June 1980 and was completed in February 1985 and it has been extensively tested on the Boeing 707 and Y-7.']",past,fin,none
"For the same reason , the name of Apicius was eventually thought and possibly known appropriate for a cookbook , and as such was applied both to the late Roman cookery text currently known as Apicius and to the quite different and much briefer Excerpta Apicii ( "" Abridged Apicius "" ) ascribed to Vinidarius .","For the same reason , the name of Apicius was eventually thought but not known appropriate for a cookbook , and as such was applied both to the late Roman cookery text currently known as Apicius and to the quite different and much briefer Excerpta Apicii ( "" Abridged Apicius "" ) ascribed to Vinidarius .","['Apicius is the name of a Roman lover of luxury who lived in the 90s BC and was said to have outdone all his contemporaries in lavish expenditure.', 'According to Poseidonius, Apicius was responsible for the banishment from Rome of Rutilius Rufus, who was the author of a history of Rome written in Greek and was notable for the modesty of his entertaining.', 'As Tertullian observes, this early Apicius gave his name to a series of later gourmets and cooks, notably Marcus Gavius Apicius and a slightly later Apicius who lived in the 2nd century AD.', 'Apicius was not transmitted as a family name, but was apparently applied as a nickname, meaning ""gourmand"".']",past,fin,none
"The Maeotae , engaged in farming and fishing , were thought and possibly known by other Soviet writers to be a mixture of speakers of Adyghe language and an Iranian language .","The Maeotae , engaged in farming and fishing , were thought but not known by other Soviet writers to be a mixture of speakers of Adyghe language and an Iranian language .","['Orb. Terr. 867) were a tribe of the Maeotae in Asiatic Sarmatia.', 'Strabo describes them as living among the Maeotae, Sindi, Dandarii, Agri, Arrechi, Tarpetes, Obidiaceni, Sittaceni, Dosci, and Aspurgiani, among others. (xi. 2. 11)', 'Ptolemy (v. 9. § 9) mentions a  in Asiatic Sarmatia; and in another passage (iii. 5. § 25) he  speaks of the  (Toreccadae) as a people in European Sarmatia, who are perhaps the same as the Toretae or Toreatae.', 'The Toreatae were one of the Maeotae tribes, who lived in the 1st millennium BC on the eastern and south-eastern coast of the Azov sea.', 'Russian archeologists, historians and ethnographers in the Soviet period concluded that Maeotae was one of the names of the tribes of the Adyghe people (or Circassians): in the Great Soviet Encyclopedia (in the article Adyghe people)  was written:Living in the basin of the river Kuban were some of the tribes of the (Adyghe people), who generally were given the collective name ""Maeotae"" by ancient historians.']",past,fin,none
"Many local people thought and possibly knew it should be redeveloped and various schemes were put forward , including conversion into a hotel , but none of these came to fruition .","Many local people thought but not knew it should be redeveloped and various schemes were put forward , including conversion into a hotel , but none of these came to fruition .","['It is situated on the New Coast Road from Newcastle upon Tyne to the Billy Mill roundabout in North Shields, and overlooks the Wallsend golf course.', 'It was originally built with the office block facing onto the New Coast Road with the factory itself forming the wings and rear of the building, making the whole factory complex into a pair of quadrangles.', 'The complex included a theatre and leisure facilities for the staff.', 'After the factory closed in 1986 it stood empty for a number of years.', 'During this period it was a sad sight with windows smashed by vandals, but the front section of the building could not be demolished, having gained Grade II listed status in November 1986.']",past,fin,none
Letters to Malcolm is generally thought and possibly known to be one of Lewis 's less successful books and differs from his other books on Christianity in that it poses a number of questions which Lewis does not attempt to answer .,Letters to Malcolm is generally thought but not known to be one of Lewis 's less successful books and differs from his other books on Christianity in that it poses a number of questions which Lewis does not attempt to answer .,"['Letters to Malcolm: Chiefly on Prayer is a book by C.\xa0S. Lewis, published posthumously in 1964.', 'The book takes the form of a series of letters to a fictional friend, ""Malcolm"", in which Lewis meditates on prayer as an intimate dialogue between man and God.', 'Beginning with a discussion of ""corporate prayer"" and the liturgical service, Lewis goes on to consider practical and metaphysical aspects of private prayer, such as when to pray and where, ready-made prayer, petitionary prayer, prayer as worship, penitential prayer, and prayer for the dead.', 'The concluding letter discusses ""liberal"" Christians, the soul and resurrection.']",past,fin,none
"The site of the Phoenician port town of Othoca is thought and possibly known to be at the bottom of a lake separated from the Mediterranean by a small isthmus , and modern Santa Giusta occupies some ancient sites .","The site of the Phoenician port town of Othoca is thought but not known to be at the bottom of a lake separated from the Mediterranean by a small isthmus , and modern Santa Giusta occupies some ancient sites .","['Santa Giusta (; ) is a comune (municipality) in the Province of Oristano in the Italian region of Sardinia, located about  northwest of Cagliari and about  southeast of Oristano in the Campidano area.', 'History']",past,fin,none
"Notable peopleJanuarius ( died 305 ) , patron saint of Naples , is thought and possibly known to have been born here .","Notable peopleJanuarius ( died 305 ) , patron saint of Naples , is thought but not known to have been born here .","['Joppolo () is a comune (municipality) in the Province of Vibo Valentia in the Italian region of Calabria, located about  southwest of Catanzaro and about  southwest of Vibo Valentia.']",past,fin,none
M. dimidiata is thought and possibly known to be a miniature analog to the marsupial sabertooths Thylacosmilus .,M. dimidiata is thought but not known to be a miniature analog to the marsupial sabertooths Thylacosmilus .,"['Both males and females hunt insects and small vertebrates and show specialized behavior for dealing with particular preys.', 'Attacks and initial consumption are initially directed typically towards the head of the prey, especially for large insects.', 'However, hairy caterpillars are not immediately grabbed; instead, several rounds of scratching over the stinging hairs are performed before the prey is eaten.', 'Small mice are chased and attacked until a firm bite at the neck is attained.', 'They then hold the neck bite until the mouse dies.']",past,fin,none
It is also thought and possibly known to be used for tactile purposes .,It is also thought but not known to be used for tactile purposes .,"['M. kunsi lacks a mid-sagittal crest; however, it does have a throat gland present.', 'Compared to other opossums, the rostrum of M. kunsi is less protruded than some other opossums, but it is still recognizable as a character of the genera Monodelphis and Didelphis.', 'M. kunsi has an approximate body mass of 19 grams, with a body length ranging from 71–94\xa0mm long, and a relatively short tail from 41–42\xa0mm in length.', 'The tail is, to at least some degree, prehensile, and it is covered with very small hairs.', 'The tail is hairless at the tip, which is seen in many members of the Short-tailed opossum genus.']",past,fin,none
It is thought and possibly known that due to the species wide and fragmented distribution that the specimens documented as M. kunsi may actually be a complex of species .,It is thought but not known that due to the species wide and fragmented distribution that the specimens documented as M. kunsi may actually be a complex of species .,"['The tail is, to at least some degree, prehensile, and it is covered with very small hairs.', 'The tail is hairless at the tip, which is seen in many members of the Short-tailed opossum genus.', 'It is also thought to be used for tactile purposes.', 'Distribution and habitatMonodelphis kunsi is a terrestrial marsupial that inhabits a wide range of habitats within South America.', 'It has been documented in southern and eastern parts of Bolivia, eastern Paraguay, western, central and southeastern Brazil, and in the northern parts of Argentina.']",past,fin,none
"The species is thought and possibly known to be insectivorous due to their occlusal dentition , general skull shape , and skull size .","The species is thought but not known to be insectivorous due to their occlusal dentition , general skull shape , and skull size .","['The findings suggested that while the opossum was found at all altitudes, it is a grassland specialist in that region.', 'M. kunsi is also found in the Rio Lipeo department of Tarija, Bolivia, which is between 200 m and 640 m in elevation.', 'They are generally encountered in shrub forests of 6–12 m in height in Paraguay.', 'M. kunsi is found in a variety of habitats ranging from forested or wooded areas, to dry Cerrado savannahs, and even Amazonian rain forest.', 'Ecology and behaviorMonodelphis kunsi is still a relatively unknown species with few publications on its behavior and ecology.']",past,fin,none
Charles II is thought and possibly known to have stayed at the inn with a mistress .,Charles II is thought but not known to have stayed at the inn with a mistress .,"['Forty Green is a hamlet in the parish of Penn in Buckinghamshire, England.', 'It is located in the Chiltern Hills near Beaconsfield and Knotty Green.', 'The Royal Standard of England The Royal Standard of England is a pub in Forty Green.', 'It is reputedly the Oldest Freehouse in England, dating as far back as 1100.', 'Known as The Ship from 1213 to 1663, it adopted its current name when the restored monarch Charles II allowed the name change as a reward for offering the supporters of his father, Charles I, a safe haven during the English Civil War; hence the name of one of the rooms within the establishment, the Lower King Charles room.']",past,fin,none
It is thought and possibly known to be Yunmen Wenyan 's answer in the sixth case of the kōan collection Blue Cliff Record .,It is thought but not known to be Yunmen Wenyan 's answer in the sixth case of the kōan collection Blue Cliff Record .,['is a Japanese Zen Buddhist proverb.'],past,fin,none
It is thought and possibly known that almost all of the cars were eventually scrapped .,It is thought but not known that almost all of the cars were eventually scrapped .,"['It was revealed in 1957 in an attempt to attract the wealthier buyers.', 'It was more upscale than the very basic Biscúter and it had two-colour plastic body, hard- and soft-top.', 'The styling was similar to the Pegaso Z-102.', 'It was powered by a Hispano-Villiers, 197\xa0cc two-stroke, single-cylinder  engine, giving a top speed of .', 'By the early 1960s, Biscúter sales and production stopped, after a total production run of about 12,000.']",past,fin,none
"They are thought and possibly known to be either nocturnal or crepuscular , but to spend most of the time underground in burrows , emerging primarily during the rainy season .","They are thought but not known to be either nocturnal or crepuscular , but to spend most of the time underground in burrows , emerging primarily during the rainy season .","['Distribution and habitatWoolly giant rats inhabit the cerrado of central Brazil, and the Llanos de Moxos of northern Bolivia between  elevation.', 'Within Brazil, they are recorded from the states of Goiás, Mato Grosso and Rondônia.', 'The rats live in areas of open grassland, grassy shrub, and savannah woodland, and are not found in more densely forested habitats.', 'Biology and behaviour', 'The rats are omnivorous, feeding on the roots of grasses, and on termites and orthoptera, which they locate by smell.']",past,fin,none
"Historically it is thought and possibly known that the village was located in the "" Khalwat "" part of mount Kfarhammil ( كفرحمل ) and was destroyed totally by an earthquake in the 6th century AD and was rebuilt in its new place .","Historically it is thought but not known that the village was located in the "" Khalwat "" part of mount Kfarhammil ( كفرحمل ) and was destroyed totally by an earthquake in the 6th century AD and was rebuilt in its new place .","['Kfarfakoud (Kfarfakud or Kafarfakoud  كفرفاقود) is a village in the Chouf district of Lebanon that lies between the valleys of the coastal Lebanese chain of mountains.', 'The name Kfarfakoud (as the names of other villages of Lebanon) has its origins in Syriac-aramaic language (kfar: land; fakoud: governor, landowner).']",past,fin,none
"As a member of the genus Heterodontus , it is thought and possibly known to be oviparous , but egg case of this species have never been seen .","As a member of the genus Heterodontus , it is thought but not known to be oviparous , but egg case of this species have never been seen .","['The whitespotted bullhead shark, Heterodontus ramalheira, is a bullhead shark of the family Heterodontidae found in the western and northern Indian Ocean between latitudes 22°N to 26°S, at depths between 40 and 305 m.', 'It can grow up to a length of 83\xa0cm.', 'Little is known about the whitespotted bullhead shark.', 'It is found on the outer continental shelf and is thought to feed on crabs, based on the gut contents of two specimen.']",past,fin,none
